# Wettercode - "weatherng-sd & weatherng"
# http://edg3.co.uk/snippets/weather-location-codes/
#
# Deutschland 
# http://edg3.co.uk/snippets/weather-location-codes/germany/
#
# mango 06.08.2012
#
GMXX0537, Dahlwitz-Hoppegarten
GMXX0538, Gilching
GMXX0539, Wolferstadt
GMXX0540, Westendorf
GMXX0541, Stockelsdorf
GMXX0542, Wolfratshausen
GMXX0543, Illingen
GMXX0544, Frankenberg
GMXX0545, Pluwig
GMXX0546, Edling
GMXX0547, Jettenbach
GMXX0548, Sankt Andreasberg
GMXX0549, Griesheim
GMXX0550, Allensbach
GMXX0551, Mehrstetten
GMXX0552, Schonberg
GMXX0553, Pleissa
GMXX0554, Windhagen
GMXX0555, Daisendorf
GMXX0556, Perleberg
GMXX0557, Solden
GMXX0558, Bardowick
GMXX0559, Heidesheim
GMXX0560, Umkirch
GMXX0561, Zaberfeld
GMXX0562, Durbach
GMXX0563, Blankenburg
GMXX0564, Seifhennersdorf
GMXX0565, Ennigerloh
GMXX0566, Maitenbeth
GMXX0567, Berggiesshubel
GMXX0568, Stetten
GMXX0569, Mutschen
GMXX0570, Weidhausen
GMXX0571, Holzwickede
GMXX0572, Mundelsheim
GMXX0573, Esselbach
GMXX0574, Aura i. Sinngrund
GMXX0575, Loitzendorf
GMXX0576, Pemfling
GMXX0577, Obermoschel
GMXX0578, Fischen
GMXX0579, Durbheim
GMXX0580, Ellern
GMXX0581, Kirchentellinsfurt
GMXX0582, Sankt Englmar
GMXX0583, Hagenbach
GMXX0584, Bobingen
GMXX0585, Sankt Wolfgang
GMXX0586, Inzigkofen
GMXX0587, Ranis
GMXX0588, Freisbach
GMXX0589, Lindow
GMXX0590, Seddinger See
GMXX0591, Steinberg
GMXX0592, Varel
GMXX0593, Wismar
GMXX0594, Hallgarten
GMXX0595, Frechen
GMXX0596, Winterbach
GMXX0597, Kirchberg/Murr
GMXX0598, Haldensleben
GMXX0599, Deiningen
GMXX0600, Schramberg
GMXX0601, Frammersbach
GMXX0602, Bessenbach
GMXX0603, Breitbrunn/Chiemsee
GMXX0604, Eggenthal
GMXX0605, Garstedt
GMXX0606, Gersdorf
GMXX0607, Blaubeuren
GMXX0608, Armsheim
GMXX0609, Hohbeck
GMXX0610, Mahlow
GMXX0611, Pittenhart
GMXX0612, Meckenbeuren
GMXX0613, Wielenbach
GMXX0614, Cunewalde
GMXX0615, Icking
GMXX0616, Herzogenrath
GMXX0617, Dietenhofen
GMXX0618, Stralsund
GMXX0619, Sittensen
GMXX0620, Eslohe
GMXX0621, Stamsried
GMXX0622, Painten
GMXX0623, Strassberg
GMXX0624, Konigsee
GMXX0625, Sankt Goar
GMXX0626, Vierhofen
GMXX0627, Miltenberg
GMXX0628, Ellerstadt
GMXX0629, Borna
GMXX0630, Waldfischbach-Burgalben
GMXX0631, Leimen
GMXX0632, Weitefeld
GMXX0633, Borstel
GMXX0634, Torgelow
GMXX0635, Altdobern
GMXX0636, Schnaittenbach
GMXX0637, Kunreuth
GMXX0638, Roklum
GMXX0639, Geisenfeld
GMXX0640, Halberstadt
GMXX0641, Hettenleidelheim
GMXX0642, Brieselang
GMXX0643, Gross Rheide
GMXX0644, Frickenhausen
GMXX0645, Dargun
GMXX0646, Oberstadion
GMXX0647, Triptis
GMXX0648, Wefensleben
GMXX0649, Mittenwalde
GMXX0650, Siedenburg
GMXX0651, Monzingen
GMXX0652, Wasserburg/Inn
GMXX0653, Geroldsgrun
GMXX0654, Glatten
GMXX0655, Hohr-Grenzhausen
GMXX0656, Fichtenau
GMXX0657, Bubsheim
GMXX0658, Rottleberode
GMXX0659, Grossenbrode
GMXX0660, Dasing
GMXX0661, Turkheim
GMXX0662, Fallingbostel
GMXX0663, Rottendorf
GMXX0664, Lindenthal
GMXX0665, Rattelsdorf
GMXX0666, Edenkoben
GMXX0667, Ranstadt
GMXX0668, Frose
GMXX0669, Bad Ems
GMXX0670, Schierling
GMXX0671, Calvorde
GMXX0672, Hochstadt/Pfalz
GMXX0673, Uttenreuth
GMXX0674, Hordt
GMXX0675, Aham
GMXX0676, Herrieden
GMXX0677, Sand
GMXX0678, Kurten
GMXX0679, Jettingen-Scheppach
GMXX0680, Nortorf
GMXX0681, Hohenkammer
GMXX0682, Enger
GMXX0683, Spraitbach
GMXX0684, Grafendorf
GMXX0685, Apen
GMXX0686, Kleinmaischeid
GMXX0687, Flein
GMXX0688, Schleife
GMXX0689, Walldorf
GMXX0690, Ehrenfriedersdorf
GMXX0691, Rees
GMXX0692, Dautmergen
GMXX0693, Nudlingen
GMXX0694, Altrip
GMXX0695, Osdorf
GMXX0696, Riedbach
GMXX0697, Holm
GMXX0698, Bovenden
GMXX0699, Pulsnitz
GMXX0700, Oberostendorf
GMXX0701, Heiligenberg
GMXX0702, Kernen
GMXX0703, Ahnsbeck
GMXX0704, Neuhofen
GMXX0705, Werther
GMXX0706, Krakow am See
GMXX0707, Bad Schonborn
GMXX0708, Brachttal
GMXX0709, Blomberg
GMXX0710, Prackenbach
GMXX0711, Borsfleth
GMXX0712, Haldenwang
GMXX0713, Motzingen
GMXX0714, Amberg
GMXX0715, Gutenstetten
GMXX0716, Diemelsee
GMXX0717, Neuensalz
GMXX0718, Pattensen
GMXX0719, Probstzella
GMXX0720, Pfeffenhausen
GMXX0721, Wolfegg
GMXX0722, Renningen
GMXX0723, Muhltal
GMXX0724, Grobenzell
GMXX0725, Eisenheim
GMXX0726, Kinsau
GMXX0727, Tettnang
GMXX0728, Kritzmow
GMXX0729, Wachenroth
GMXX0730, Bottenbach
GMXX0731, Uelsen
GMXX0732, Neresheim
GMXX0733, Hahnstatten
GMXX0734, Sontra
GMXX0735, Hofen
GMXX0736, Westhausen
GMXX0737, Uersfeld
GMXX0738, Drebkau
GMXX0739, Rettenberg
GMXX0740, Andernach
GMXX0741, Zwenkau
GMXX0742, Euerdorf
GMXX0743, Porta Westfalica
GMXX0744, Rosenfeld
GMXX0745, Hohenkirchen-Siegertsbrun
GMXX0746, Surwold
GMXX0747, Merenberg
GMXX0748, Ostfildern
GMXX0749, Crivitz
GMXX0750, Schaufling
GMXX0751, Bischofswiesen
GMXX0752, Gorwihl
GMXX0753, Mengen
GMXX0754, Seibersbach
GMXX0755, Ingoldingen
GMXX0756, Neubrandenburg
GMXX0757, Hoheinod
GMXX0758, Langballig
GMXX0759, Kellinghusen
GMXX0760, Bullay
GMXX0761, Havetoft
GMXX0762, Gangelt
GMXX0763, Klettwitz
GMXX0764, Schwelm
GMXX0765, Gerolzhofen
GMXX0766, Bad Neuenahr-Ahrweiler
GMXX0767, Wriedel
GMXX0768, Erlensee
GMXX0769, Neustadt/Wied
GMXX0770, Winterlingen
GMXX0771, Puderbach
GMXX0772, Teterow
GMXX0773, Bisingen
GMXX0774, Haste
GMXX0775, Renchen
GMXX0776, Altleiningen
GMXX0777, Obertrubach
GMXX0778, Hohenberg a.d. Eger
GMXX0779, Beckdorf
GMXX0780, Waldbockelheim
GMXX0781, Kreuzau
GMXX0782, Niederzissen
GMXX0783, Rehau
GMXX0784, Fraunberg
GMXX0785, Gablingen
